id,name,year,release,country,language,rating
5ceffaae-538d-4ebd-a95a-9e6c994baba9,Tomcats,1967,1912-06-16 23:57:06,France,Chinese,3.0
0b9cd142-da37-4137-982c-b520ac96c59b,Rock & Rule,1944,1909-09-01 09:10:55,China,French,4.7
2d8ccb90-879f-4b69-a188-65b047af1c05,Devil's Knot,1983,1904-03-01 14:54:27,Russia,French,2.2
41bb1e68-f843-4720-b133-e743a0531484,"Reivers, The",2015,1959-04-19 00:18:47,Russia,French,2.3
30dfe69a-b0f2-4555-8790-c4cd56cb5ba2,"Earth Trembles, The (Terra trema: Episodio del mare, La)",1905,1916-01-23 05:55:59,United States,French,1.8
a5ed7f8d-bb6b-4de4-96f1-571c82a8cbf5,Anazapta (Black Plague),1930,1900-09-03 21:28:35,France,German,2.6
04663636-bbce-4535-85da-778b252c5f24,Life As a Fatal Sexually Transmitted Disease (Zycie jako smiertelna choroba przenoszona droga plciowa),1952,1986-09-08 11:42:51,China,Persian,1.4
de4c7387-7a25-4d7c-9454-9b02d024bb60,External Affairs,1920,1931-01-05 20:47:53,Russia,German,3.1
b48622a0-2640-44fc-b1dd-147e4c41163e,Tyson,1992,1992-12-14 00:30:37,China,Swedish,4.4
9043c2a3-245a-43eb-99d4-2c1986f30613,"General's Daughter, The",1925,1917-07-09 05:02:53,China,Russian,3.6
3ec17949-3da6-43a3-aca1-a32ca5f37480,"Facts of Life, The",1943,1929-07-29 04:06:01,China,Persian,3.8
4aa5a66e-8e86-42ae-8b07-956a62f2912f,Skenbart: En film om tåg,2019,2003-08-22 21:19:21,China,Swedish,2.2
fd4d30de-d7e6-46dc-9cd1-ae5b1892d415,Cloverfield,1947,1943-01-16 15:51:40,China,French,3.8
3dfd4597-fccf-41ba-bab8-08798347a21f,Brest Fortress (Brestskaya krepost),1991,1929-01-03 21:56:33,Russia,Swedish,4.4
88550a91-e3f1-4550-972b-19e40dd5d616,Zorn's Lemma,2015,1921-02-23 08:09:38,Russia,English,4.7
68b11a08-53a2-4f46-86ab-db33e30936bc,Piccadilly,1935,1980-09-11 22:55:53,China,Swedish,3.2
6903851e-f0ef-4cc7-b3f7-0c64a525207b,Punk in London,2018,1905-05-20 19:49:08,China,Japanese,1.1
686ae183-b153-4972-9d8f-4a8f23bbc185,Stuck in Love,1983,1981-09-29 16:20:46,China,English,4.1
f048afef-b4f9-4e8c-9e38-10118e9f5738,Pat and Mike,2001,1994-08-12 14:35:10,China,Persian,1.2
4a4931a6-6694-496f-9abf-d7442ec55255,Billy Bathgate,1998,2016-12-15 07:39:24,Sweden,Chinese,2.3
c39a6702-2c21-49ce-933d-2e1601c8e77f,Forest of the Gods (Dievu miskas),1933,2003-08-30 06:37:33,China,French,1.8
3e5f23f8-ddac-497d-8792-83f67b32ebf3,Villa Rides!,2009,1994-08-31 14:38:48,China,French,2.4
13a6892e-0d6d-4a8a-a64f-f2a6fed9e6ff,Sympathy for Mr. Vengeance (Boksuneun naui geot),1970,1902-08-22 19:46:27,Russia,Japanese,3.8
31540580-b11c-41ae-b71d-3368a5108c55,Harry in Your Pocket,1980,1961-07-14 11:03:03,China,Russian,2.8
2c5f8e9e-33b0-4121-8cfe-582af38b6ceb,Ain't in It for My Health: A Film About Levon Helm,1997,1965-01-26 14:58:41,China,Swedish,2.8
821a7a79-e7c7-464e-8ea5-e152429a042f,Ice Cream Man,1912,2009-11-28 04:23:56,China,English,2.0
d8f86874-ed98-40d4-8a57-6e550402963a,Thirty-Two Short Films About Glenn Gould,1928,1956-01-25 18:46:56,China,Spanish,3.9
4f8d99ef-0a7a-426e-86b5-48d2cb47751b,Al-risâlah,1976,1992-07-17 22:41:45,China,Persian,3.3
